,site_id,delta,vote ,site_name,year_x,ADDRESS,CITY,COUNTY,STATE,ZIP_CODE,REGION,NPL_STATUS,LATITUDE,LONGITUDE,SITE_SCORE,FEDERAL,final_date,completion_date,NPL_STAT,deletion_date_new,CAG,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,f_black,f_maleunem,f_femunem,f_hispanic,f_unemployment,f_educated,f_urban,f_rural,f_lessthan,f_higher,f_owner,f_pop65,income,npv,lognpv,federal_status,duration,event,president,final_date_year,State,year_y,party,Abbreviation
0,AK0001897602,482.0,56.0,SALT CHUCK MINE,2010,"4 MI SW CY,  T72S R84E S17, COPPE",THORNE BAY,OUTER KETCHIKAN,AK,99919.0,10,Currently on the,55.626389,-132.55861399999998,50.0,G,2010-03-04,2018-01-04,,,0,0,0,0,0,0,0,0,0,0,0,0.0029670647714692233,0.03501514228485576,0.015430355946576643,0.01721072973736957,0.0504454982314324,0.6017805087187044,0.0,1.0,0.08189921829514536,0.5738875362365773,0.3305639379520507,0.12225548195237992,41815.0,13739407,16.435778685166273,0,2863.0,0,obama1,2010,Alaska,2008,0,AK
1,AK1570028646,379.0,56.0,EIELSON AIR FORCE BASE,1980,HIGHWAY 2 - 16 MI SE OF FAIRBANKS,FAIRBANKS,FAIRBANKS NORTH,AK,99702.0,10,Currently on the,64.67145,-147.0492,48.14,F,1989-11-21,1998-09-30,completed,,0,0,0,0,0,0,0,0,0,0,0,0.1208129537534641,0.0033872755114440736,0.01919459302617279,0.05231467324027547,0.022581868537616862,0.3944297860480343,0.0,0.011855464290054258,0.024840084006569285,0.37674063820650666,0.004892720696089315,0.0007527702843071816,26000.0,233000,12.358793732547838,1,3235.0,1,bush_father,1989,Alaska,1988,0,AK
2,AK6210022426,661.0,56.0,FORT WAINWRIGHT,1990,"RICHARDSON HWY, SE OF CY",FORT WAINWRIG,FAIRBANKS NORTH,AK,99703.0,10,Currently on the,64.82300000000001,-147.6106,42.4,F,1990-08-30,2002-09-27,completed,,0,0,0,0,0,0,0,0,0,0,0,0.4575068429792736,0.008396824305947195,0.027481060849282347,0.18244259616559486,0.03587788515522955,0.7356232437270003,0.0,0.001527041220229198,0.04351121495215909,0.7007633512504611,0.0007635467112115603,0.0020360375595742893,26685.0,920040,13.73217242634094,1,4411.0,1,bush_father,1990,Alaska,1988,0,AK
3,AK8570028649,661.0,56.0,ELMENDORF AIR FORCE BASE,1990,N BOUNDRY OF CITY LIMITS,ANCHORAGE,ANCHORAGE BOROUG,AK,99506.0,10,Currently on the,61.25416,-149.7917,45.91,F,1990-08-30,2018-01-04,,,0,0,0,0,0,0,0,0,0,0,0,0.12348974428708342,0.0019668449520419086,0.007726889488613833,0.06083169389769235,0.009693734440655742,0.38648496846866665,1.0,0.0,0.02079235720316469,0.3572632766863563,0.001264399861510005,0.001264399861510005,27906.0,1,0.0,1,9989.0,0,bush_father,1990,Alaska,1988,0,AK
4,AKD004904215,144.0,56.0,ALASKA BATTERY ENTERPRISES,1980,157 OLD RICHARDSON HIGHWAY,FAIRBANKS,FAIRBANKS NORTH,AK,99701.0,10,Deleted from the,64.8203,-147.7038,41,G,1989-03-31,1993-03-02,completed,26-Jul-96,0,0,0,0,0,0,0,0,0,0,0,0.5293281140194263,0.1746307695149482,0.15622592996528512,0.2345051456904612,0.3308566994802333,2.500461690632559,0.0,0.4420589586575632,0.4435098287305536,2.3410609335525754,0.6836156043813555,0.3255421020349105,31544.2,1,0.0,0,1432.0,1,bush_father,1989,Alaska,1988,0,AK
5,AKD980978787,661.0,56.0,STANDARD STEEL & METAL SALVAGE YARD (USDOT),1990,2400 RAILROAD AVENUE,ANCHORAGE,ANCHORAGE,AK,99501.0,10,Deleted from the,61.2279,-149.8324,41,F,1990-08-30,1999-09-16,completed,30-Sep-02,0,0,0,0,0,0,0,0,0,0,0,0.4793975739191321,0.15992158545245522,0.0920213880076196,0.2770602729469631,0.2519429734600748,1.805821672871688,4.0,0.0,0.4544309806846672,1.707455658952688,0.2934315110842316,0.1732364314866008,23917.0,6797000,15.731991896328775,1,3304.0,1,bush_father,1990,Alaska,1988,0,AK
6,AKD980988158,526.0,56.0,ARCTIC SURPLUS,1990,BADGER RD AND OLD RICHARDSON WAY,FAIRBANKS,FAIRBANKS NORTH,AK,99701.0,10,Deleted from the,64.8122,-147.5643,41,G,1990-04-17,2005-04-18,completed,25-Sep-06,0,0,0,0,0,0,0,0,0,0,0,0.4827460432993781,0.052158248768616286,0.052923780924719936,0.20666408204736064,0.10508202969333624,1.2412205595008179,0.0,1.0015270413316204,0.11475072430139485,1.1947588786544745,0.2517303419382742,0.02462913601986633,34660.333333333336,15100000,16.530205301785152,0,5480.0,1,bush_father,1990,Alaska,1988,0,AK
7,AK4170024323,570.0,56.0,ADAK NAVAL AIR STATION,1990,ADAK IS,ADAK,ALEUTIANS WEST C,AK,99546.0,10,Currently on the,51.8775,-176.6525,51.37,F,1994-05-31,2018-01-04,,,0,0,0,0,0,0,0,0,0,0,0,0.10982223790932966,0.0009354483831237939,0.008606125124738904,0.05350794637997913,0.009541573507862696,0.4838165935393093,0.0,0.1332086467309566,0.013844735691998192,0.4639849881953189,0.0005612690298742763,0.0005612690298742763,29250.0,450974,13.019164967155604,1,8619.0,0,clinton1,1994,Alaska,1992,0,AK
8,AK6214522157,570.0,56.0,FORT RICHARDSON (USARMY),1990,,ANCHORAGE,ANCHORAGE BOROUG,AK,99505.0,10,Currently on the,61.25833000000001,-149.7,50.0,F,1994-05-31,2006-09-28,completed,,0,0,0,0,0,0,0,0,0,0,0,0.22546684999367814,0.0041358580246544825,0.013911517425199698,0.07795463143383984,0.018047375449854186,0.3772402548367033,1.0,0.0,0.021055270650021937,0.3594435401527616,0.0010026303171067096,0.0007519738000419398,24299.0,465000,13.049792684569493,1,4503.0,1,clinton1,1994,Alaska,1992,0,AK
9,AL3210020027,126.0,55.6,ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL A,1980,OFF AL HWY 202,ANNISTON,CALHOUN,AL,36253.0,4,Currently on the,33.65943,-85.96943,51.91,F,1989-03-13,2018-01-04,,,0,0,0,0,1,0,0,0,0,0,0,0.08154350039135631,0.011649072813890387,0.018565707325264386,0.006734620874849815,0.030214780139154775,0.4077175066097198,0.2781215872588556,0.7218784127411444,0.22406261592940926,0.39752457080565207,0.29122679242963045,0.09847105707027384,25093.0,602000,13.308012724290958,1,10524.0,0,bush_father,1989,Alabama,1988,0,AL
