,site_id,delta,vote ,site_name,year_x,ADDRESS,CITY,COUNTY,STATE,ZIP_CODE,REGION,NPL_STATUS,LATITUDE,LONGITUDE,SITE_SCORE,FEDERAL,final_date,completion_date,NPL_STAT,deletion_date_new,CAG,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,f_black,f_maleunem,f_femunem,f_hispanic,f_unemployment,f_educated,f_urban,f_rural,f_lessthan,f_higher,income,npv,lognpv,federal_status,duration,event,president,final_date_year,State,year_y,party,Abbreviation
0,AK0001897602,482.0,56.0,SALT CHUCK MINE,2010,"4 MI SW CY,  T72S R84E S17, COPPE",THORNE BAY,OUTER KETCHIKAN,AK,99919.0,10,Currently on the,55.626389,-132.55861399999998,50.0,G,2010-03-04,2018-01-04,,,0,0,0,0,0,0,0,0,0,0,0,0.0029662167684848034,0.0350145410537584,0.015429600470376063,0.017211967168594487,0.05044414152413446,0.6017807847159419,0.0,1.0,0.08189922245571109,0.5738878005436746,41815.0,13739407,16.435778685166273,0,2863.0,0,obama1,2010,Alaska,2008,0,AK
1,AK1570028646,379.0,56.0,EIELSON AIR FORCE BASE,1980,HIGHWAY 2 - 16 MI SE OF FAIRBANKS,FAIRBANKS,FAIRBANKS NORTH,AK,99702.0,10,Currently on the,64.67145,-147.0492,48.14,F,1989-11-21,1998-09-30,completed,,0,0,0,0,0,0,0,0,0,0,0,0.10200248721762167,0.0,0.0,0.04473158808124102,0.0,0.0,0.0,0.0207747565247718,0.0,0.0,5000.0,233000,12.358793732547838,1,3235.0,1,bush_father,1989,Alaska,1988,0,AK
2,AK6210022426,661.0,56.0,FORT WAINWRIGHT,1990,"RICHARDSON HWY, SE OF CY",FORT WAINWRIG,FAIRBANKS NORTH,AK,99703.0,10,Currently on the,64.82300000000001,-147.6106,42.4,F,1990-08-30,2002-09-27,completed,,0,0,0,0,0,0,0,0,0,0,0,0.2287531552562379,0.004198556001019032,0.013740494611054123,0.09122142440281414,0.01793905061207316,0.3678116517555922,0.0,0.0007632837723849359,0.02175566757515859,0.3503817211266567,26685.0,920040,13.73217242634094,1,4411.0,1,bush_father,1990,Alaska,1988,0,AK
3,AK8570028649,661.0,56.0,ELMENDORF AIR FORCE BASE,1990,N BOUNDRY OF CITY LIMITS,ANCHORAGE,ANCHORAGE BOROUG,AK,99506.0,10,Currently on the,61.25416,-149.7917,45.91,F,1990-08-30,2018-01-04,,,0,0,0,0,0,0,0,0,0,0,0,0.12348974294140767,0.0019668449316939717,0.0077268900062137675,0.06083169572450053,0.009693734937907738,0.3864849677188991,1.0,0.0,0.02079235592526097,0.357263276903339,27906.0,1,0.0,1,9989.0,0,bush_father,1990,Alaska,1988,0,AK
4,AKD004904215,144.0,56.0,ALASKA BATTERY ENTERPRISES,1980,157 OLD RICHARDSON HIGHWAY,FAIRBANKS,FAIRBANKS NORTH,AK,99701.0,10,Deleted from the,64.8203,-147.7038,41,G,1989-03-31,1993-03-02,completed,26-Jul-96,0,0,0,0,0,0,0,0,0,0,0,0.40225349880657424,0.0964584180062902,0.049673859768723384,0.11122316762177603,0.1461322777750136,1.1700951868191778,0.0,0.9772542918143776,0.2814425472877126,0.9998417612945024,20711.0,1,0.0,0,1432.0,1,bush_father,1989,Alaska,1988,0,AK
5,AKD980978787,661.0,56.0,STANDARD STEEL & METAL SALVAGE YARD (USDOT),1990,2400 RAILROAD AVENUE,ANCHORAGE,ANCHORAGE,AK,99501.0,10,Deleted from the,61.2279,-149.8324,41,F,1990-08-30,1999-09-16,completed,30-Sep-02,0,0,0,0,0,0,0,0,0,0,0,0.4793975809728794,0.15992157158065276,0.09202139733016837,0.2770602724335083,0.25194296891082113,1.8058216713059745,4.0,0.0,0.4544309785198225,1.7074556653332218,23917.0,6797000,15.731991896328775,1,3304.0,1,bush_father,1990,Alaska,1988,0,AK
6,AKD980988158,526.0,56.0,ARCTIC SURPLUS,1990,BADGER RD AND OLD RICHARDSON WAY,FAIRBANKS,FAIRBANKS NORTH,AK,99701.0,10,Deleted from the,64.8122,-147.5643,41,G,1990-04-17,2005-04-18,completed,25-Sep-06,0,0,0,0,0,0,0,0,0,0,0,0.2539925578767975,0.04795984918154336,0.03918332964894987,0.11544307054579153,0.08714317883049323,0.8734090600723017,0.0,1.0007636202252,0.09299518804772557,0.8443769875849765,38648.0,15100000,16.530205301785152,0,5480.0,1,bush_father,1990,Alaska,1988,0,AK
7,AK4170024323,570.0,56.0,ADAK NAVAL AIR STATION,1990,ADAK IS,ADAK,ALEUTIANS WEST C,AK,99546.0,10,Currently on the,51.8775,-176.6525,51.37,F,1994-05-31,2018-01-04,,,0,0,0,0,0,0,0,0,0,0,0,0.10982243163097724,0.0009353254530071688,0.008606030318572567,0.053508028376188135,0.009541355771579735,0.4838163191376673,0.0,0.1332087561127922,0.013844570190655752,0.4639847893046909,29250.0,450974,13.019164967155604,1,8619.0,0,clinton1,1994,Alaska,1992,0,AK
8,AK6214522157,570.0,56.0,FORT RICHARDSON (USARMY),1990,,ANCHORAGE,ANCHORAGE BOROUG,AK,99505.0,10,Currently on the,61.25833000000001,-149.7,50.0,F,1994-05-31,2006-09-28,completed,,0,0,0,0,0,0,0,0,0,0,0,0.22546684333573164,0.004135860498451314,0.013911524586870741,0.07795462719746908,0.018047385085322054,0.3772402542289986,1.0,0.0,0.021055271268355654,0.3594435376567828,24299.0,465000,13.049792684569493,1,4503.0,1,clinton1,1994,Alaska,1992,0,AK
9,AL3210020027,126.0,55.6,ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL A,1980,OFF AL HWY 202,ANNISTON,CALHOUN,AL,36253.0,4,Currently on the,33.65943,-85.96943,51.91,F,1989-03-13,2018-01-04,,,0,0,0,0,1,0,0,0,0,0,0,0.05609972876778722,0.009260903887631214,0.012466608426385185,0.004274260517077139,0.0217275123140164,0.3430097999861235,0.2943900362741674,0.7056099820277248,0.20605520300925567,0.3063223575604449,16267.0,602000,13.308012724290958,1,10524.0,0,bush_father,1989,Alabama,1988,0,AL
