site_id,delta,vote ,vote_new,site_name_x,year_x,ADDRESS_x,CITY_x,COUNTY_x,STATE_x,ZIP_CODE_x,REGION_x,NPL_STATUS_x,LATITUDE_x,LONGITUDE_x,SITE_SCORE_x,FEDERAL_x,grant_new,f_unemployment,f_owner,f_pop65,income_x,npv_x,lognpv,federal_status_x,president,party,EPA Region,site_type,negotiation_new,work ,PARTY_NUMBER,GENERAL_NOTICE_NUMBER,SPECIAL_NOTICE,negotiation,navy,army,manufacturing,airforce,defense,energy,black,hispanic,male_unemp,female_unemp,higherthan,graduate,grad_new,urban,pop,income_y,unemployment,education,education_new,black_c,hispanic_c,income_c,urban_c
AK1570028646,379,56,0.56,EIELSON AIR FORCE BASE,1980,HIGHWAY 2 - 16 MI SE OF FAIRBANKS,FAIRBANKS,FAIRBANKS NORTH,AK,99702,10,Currently on the,64.67,-147.05,48.14,F,0,0.02,0,0,26000,233000,12.36,1,bush_father,0,10,US Air Force,1,PRP lead ,,,,0,0,0,0,1,0,0,545,239,0,0,0,0,0,0,5343,1,0,0,0,0.1,0.04,0,0
AK6210022426,661,56,0.56,FORT WAINWRIGHT,1990,"RICHARDSON HWY, SE OF CY",FORT WAINWRIG,FAIRBANKS NORTH,AK,99703,10,Currently on the,64.82,-147.61,42.4,F,0,0.04,0,0,26685,920040,13.73,1,bush_father,0,10,US Army,1,PRP lead ,,,,0,0,1,0,0,0,0,3596,1434,66,216,5508,274,0.02,0,15720,26685,0.02,0.37,3.7,0.23,0.09,10.19,0
AK8570028649,661,56,0.56,ELMENDORF AIR FORCE BASE,1990,N BOUNDRY OF CITY LIMITS,ANCHORAGE,ANCHORAGE BOROUG,AK,99506,10,Currently on the,61.25,-149.79,45.91,F,1,0.01,0,0,27906,1,0,1,bush_father,0,10,US Air Force,1,PRP lead ,,,,0,0,0,0,1,0,0,879,433,14,55,2543,208,0.03,7118,7118,27906,0.01,0.39,3.9,0.12,0.06,10.24,1
AKD980978787,661,56,0.56,STANDARD STEEL & METAL SALVAGE YARD (USDOT),1990,2400 RAILROAD AVENUE,ANCHORAGE,ANCHORAGE,AK,99501,10,Deleted from the,61.23,-149.83,41,F,1,0.25,0.29,0.17,23917,6797000,15.73,1,bush_father,0,10,Recycling,0,EPA lead ,12,3,0,0,0,0,0,0,0,0,2265,1268,606,367,7233,418,0.02,17963,17963,23917,0.05,0.43,4.3,0.13,0.07,10.08,1
AKD980988158,526,56,0.56,ARCTIC SURPLUS,1990,BADGER RD AND OLD RICHARDSON WAY,FAIRBANKS,FAIRBANKS NORTH,AK,99701,10,Deleted from the,64.81,-147.56,41,G,1,0.11,0.25,0.02,34660.33,15100000,16.53,0,bush_father,0,10,Waste Management,1,PRP lead ,12,8,5,0,0,0,0,0,0,0,3720,1553,281,341,7935,331,0.02,0,20633,34660.33,0.03,0.4,4,0.18,0.08,10.45,0
AK4170024323,570,56,0.56,ADAK NAVAL AIR STATION,1990,ADAK IS,ADAK,ALEUTIANS WEST C,AK,99546,10,Currently on the,51.88,-176.65,51.37,F,1,0.01,0,0,29250,450974,13.02,1,clinton1,0,10,US Navy,1,PRP lead ,,,,0,1,0,0,0,0,0,587,286,5,46,2480,106,0.02,0,5345,29250,0.01,0.48,4.8,0.11,0.05,10.28,0
AK6214522157,570,56,0.56,FORT RICHARDSON (USARMY),1990,,ANCHORAGE,ANCHORAGE BOROUG,AK,99505,10,Currently on the,61.26,-149.7,50,F,1,0.02,0,0,24299,465000,13.05,1,clinton1,0,10,US Army,1,PRP lead ,,,,0,0,1,0,0,0,0,1799,622,33,111,2868,142,0.02,7979,7979,24299,0.02,0.38,3.8,0.23,0.08,10.1,1
AL3210020027,126,55.6,0.556,ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL A,1980,OFF AL HWY 202,ANNISTON,CALHOUN,AL,36253,4,Currently on the,33.66,-85.97,51.91,F,1,0.03,0.29,0.1,25093,602000,13.31,1,bush_father,0,4,US Army,1,PRP lead ,74,1,0,0,0,1,0,0,0,0,315,24,52,70,1720,206,0.04,1653,5615,16267,0.02,0.34,3.4,0.06,0,9.7,0.29
ALD007454085,661,55.6,0.556,T.H. AGRICULTURE & NUTRITION CO. (MONTGOMER,1990,3017 BIRMINGHAM HWY,MONTGOMERY,MONTGOMERY,AL,36108,4,Currently on the,32.38,-86.38,44.46,G,1,0.09,0.46,0.19,24670,3574000,15.09,0,bush_father,0,4,Other,0,EPA lead ,5,0,0,0,0,0,0,0,0,0,4637,238,129,208,3697,388,0.04,9076,10915,24670,0.03,0.37,3.7,0.42,0.02,10.11,0.83
ALD980844385,471,55.6,0.556,"REDWING CARRIERS, INC. (SARALAND)",1990,527 US HWY 43,SARALAND,MOBILE,AL,36571,4,Currently on the,30.81,-88.07,30.83,G,1,0.09,0.8,0.36,26912.33,7002562,15.76,0,bush_father,0,4,Other,0,PRP lead ,11,2,0,0,0,0,0,0,0,0,546,42,133,110,3753,108,0.01,7995,8553,26912.33,0.03,0.45,4.5,0.06,0,10.2,0.93
AL6210020008,474,55.6,0.556,ALABAMA ARMY AMMUNITION PLANT,1980,STATE HWY 235,CHILDERSBURG,TALLADEGA,AL,35044,4,Currently on the,33.34,-86.33,36.83,F,0,0.03,0.27,0.09,18877,63505,11.06,1,reagan2,0,4,US Army,1,PRP lead ,1,1,0,0,0,1,0,0,0,0,1733,11,28,60,375,26,0.01,0,2445,10714,0.04,0.16,1.6,0.71,0,9.28,0
ALD008161176,47,55.6,0.556,STAUFFER CHEMICAL CO. (LEMOYNE PLANT),1980,US HWY 43,AXIS,MOBILE,AL,36505,4,Currently on the,30.97,-88.02,32.34,G,0,0.07,0.68,0,17843.33,501000,13.12,0,reagan2,0,4,Manufacturing/Processing/Maintenance,0,EPA lead ,5,2,0,0,0,0,1,0,0,0,3972,116,133,193,3738,229,0.02,3254,14200,17843.33,0.02,0.28,2.8,0.28,0.01,9.79,0.23
