site_id,SITE_NAME,ADDRESS,CITY,COUNTY,STATE,ZIP_CODE,REGION,NPL_STATUS,LATITUDE,LONGITUDE,SITE_SCORE,FEDERAL,final_date,completion_date,deletion_date,NPL_STAT
AK0001897602,SALT CHUCK MINE,"4 MI SW CY,  T72S R84E S17, COPPER RIVER",THORNE BAY,OUTER KETCHIKAN,AK,99919,10,Currently on the,55.626389,-132.558614,50,G,3/4/2010,10/10/2050,,
AK1570028646,EIELSON AIR FORCE BASE,HIGHWAY 2 - 16 MI SE OF FAIRBANKS,FAIRBANKS,FAIRBANKS NORTH,AK,99702,10,Currently on the,64.67145,-147.0492,48.14,F,11/21/1989,9/30/1998,,completed
AK4170024323,ADAK NAVAL AIR STATION,ADAK IS,ADAK,ALEUTIANS WEST C,AK,99546,10,Currently on the,51.8775,-176.6525,51.37,F,5/31/1994,10/10/2050,,
AK6210022426,FORT WAINWRIGHT,"RICHARDSON HWY, SE OF CY",FORT WAINWRIG,FAIRBANKS NORTH,AK,99703,10,Currently on the,64.823,-147.6106,42.4,F,8/30/1990,9/27/2002,,completed
AK6214522157,FORT RICHARDSON (USARMY),,ANCHORAGE,ANCHORAGE BOROUG,AK,99505,10,Currently on the,61.25833,-149.7,50,F,5/31/1994,9/28/2006,,completed
AK8570028649,ELMENDORF AIR FORCE BASE,N BOUNDRY OF CITY LIMITS,ANCHORAGE,ANCHORAGE BOROUG,AK,99506,10,Currently on the,61.25416,-149.7917,45.91,F,8/30/1990,10/10/2050,,
AKD004904215,ALASKA BATTERY ENTERPRISES,157 OLD RICHARDSON HIGHWAY,FAIRBANKS,FAIRBANKS NORTH,AK,99701,10,Deleted from the,64.8203,-147.7038,,G,3/31/1989,3/2/1993,7/26/1996,completed
AKD980978787,STANDARD STEEL & METAL SALVAGE YARD (USDOT),2400 RAILROAD AVENUE,ANCHORAGE,ANCHORAGE,AK,99501,10,Deleted from the,61.2279,-149.8324,,F,8/30/1990,9/16/1999,9/30/2002,completed
AKD980988158,ARCTIC SURPLUS,BADGER RD AND OLD RICHARDSON WAY MI. 6,FAIRBANKS,FAIRBANKS NORTH,AK,99701,10,Deleted from the,64.8122,-147.5643,,G,4/17/1990,4/18/2005,9/25/2006,completed
AL3210020027,ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL A,OFF AL HWY 202,ANNISTON,CALHOUN,AL,36253,4,Currently on the,33.65943,-85.96943,51.91,F,3/13/1989,10/10/2050,,
AL6210020008,ALABAMA ARMY AMMUNITION PLANT,STATE HWY 235,CHILDERSBURG,TALLADEGA,AL,35044,4,Currently on the,33.3381,-86.3268,36.83,F,7/22/1987,10/10/2050,,
AL7210020742,USARMY/NASA REDSTONE ARSENAL,,HUNTSVILLE,MADISON,AL,35808,4,Currently on the,34.64694,-86.67305,50,F,5/31/1994,10/10/2050,,
ALD001221902,CIBA-GEIGY CORP. (MCINTOSH PLANT),OFF HWY 43,MCINTOSH,WASHINGTON,AL,36553,4,Currently on the,31.279,-87.9955,53.42,G,9/21/1984,7/19/2000,,completed
ALD004022448,"ALABAMA PLATING COMPANY, INC.",570 HIGHWAY 231 NORTH,VINCENT,SHELBY,AL,35178,4,Currently on the,33.39972,-86.405,30.2,G,9/18/2012,10/10/2050,,
ALD007454085,T.H. AGRICULTURE & NUTRITION CO. (MONTGOMER,3017 BIRMINGHAM HWY,MONTGOMERY,MONTGOMERY,AL,36108,4,Currently on the,32.3761,-86.3791,44.46,G,8/30/1990,9/27/2002,,completed
ALD008161176,STAUFFER CHEMICAL CO. (LEMOYNE PLANT),US HWY 43,AXIS,MOBILE,AL,36505,4,Currently on the,30.96943,-88.0175,32.34,G,9/21/1984,10/10/2050,,
ALD008188708,OLIN CORP. (MCINTOSH PLANT),OLIN RD,MCINTOSH,WASHINGTON,AL,36553,4,Currently on the,31.26388,-87.99445,39.71,G,9/21/1984,10/10/2050,,
ALD031618069,MOWBRAY ENGINEERING CO.,JCT OF 2ND & BEELAND STS,GREENVILLE,BUTLER,AL,36037,4,Deleted from the,31.83166,-86.61305,,G,7/1/1983,9/16/1991,12/30/1993,completed
ALD041906173,INTERSTATE LEAD CO. (ILCO),1247 BORDEN AVE SE,LEEDS,JEFFERSON,AL,35094,4,Currently on the,33.68888,-86.63333,42.86,G,6/10/1986,9/30/2014,,completed
ALD095688875,STAUFFER CHEMICAL CO. (COLD CREEK PLANT),US HWY 43,BUCKS,MOBILE,AL,36512,4,Currently on the,30.975,-88.02138,46.77,G,9/21/1984,10/10/2050,,
ALD980728703,PERDIDO GROUND WATER CONTAMINATION,COUNTY RD 47 S,PERDIDO,BALDWIN,AL,36562,4,Currently on the,31.0125,-87.625,30.29,G,9/8/1983,7/30/1993,,completed
ALD980844385,"REDWING CARRIERS, INC. (SARALAND)",527 US HWY 43,SARALAND,MOBILE,AL,36571,4,Currently on the,30.80833,-88.07306,30.83,G,2/21/1990,9/3/2009,,completed
ALD981868466,AMERICAN BRASS INC.,HIGHWAY 134 WEST,HEADLAND,HENRY,AL,36345,4,Currently on the,31.325,-85.40416,55.61,G,5/10/1999,9/1/2009,,completed
ALD983166299,TRIANA/TENNESSEE RIVER,USAMICOM DRSMI KL,LIMESTONE/MOR,"MORGAN, LIMESTON",AL,35898,4,Currently on the,34.50888,-86.63819,61.42,G,9/8/1983,12/18/1991,,completed
ARD000023440,"VERTAC, INC.",MARSHALL RD,JACKSONVILLE,PULASKI,AR,72076,6,Currently on the,34.878,-92.1312,65.46,G,9/8/1983,8/31/1998,,completed
ARD008052508,"POPILE, INC.",SOUTHFIELD RD. APPROX. 1/2 MI S OF CITY,EL DORADO,UNION,AR,71730,6,Currently on the,33.1825,-92.67333,50.03,G,10/14/1992,9/28/2001,,completed
ARD035662469,GURLEY PIT,1 MI N OF EDMONDSON,EDMONDSEN,CRITTENDEN,AR,72332,6,Deleted from the,35.1209,-90.3116,,G,7/1/1983,9/13/1994,11/6/2003,completed
ARD042755231,OUACHITA NEVADA WOOD TREATER,N OF HWY 368 APPROX. 1/4 MI N OF READER,READER,OUACHITA,AR,71726,6,Currently on the,33.75945,-93.10425,50,G,5/11/2000,9/21/2006,,completed
ARD049658628,MOUNTAIN PINE PRESSURE TREATING,HIGHWAY 28,PLAINVIEW,YELL,AR,72857,6,Currently on the,34.98416,-93.30222,41.93,G,7/22/1999,9/28/2005,,completed
ARD059636456,FRIT INDUSTRIES,INDUSTRIAL PARK,WALNUT RIDGE,LAWRENCE,AR,72476,6,Deleted from the,36.105,-90.94166,,G,7/5/1983,10/10/2050,10/14/1997,
ARD084930148,"ARKWOOD, INC.",S. OF CITY @ CRICKETT RR JUNC.,OMAHA,BOONE,AR,72662,6,Currently on the,36.445,-93.1964,28.95,G,3/31/1989,6/28/1996,,completed
ARD092916188,MID-SOUTH WOOD PRODUCTS,HWY 71 SOUTH,MENA,POLK,AR,71953,6,Currently on the,34.5697,-94.2566,45.87,G,9/8/1983,9/28/1989,,completed
ARD980496186,CECIL LINDSEY,SEC 32 T12N R2W,NEWPORT,JACKSON,AR,72112,6,Deleted from the,35.6349,-91.2255,,G,9/8/1983,3/16/1989,9/22/1989,completed
ARD980496368,INDUSTRIAL WASTE CONTROL,BONANZA ROAD,FORT SMITH,SEBASTIAN,AR,72901,6,Deleted from the,35.2402,-94.3525,,G,7/15/1983,6/10/1992,4/7/2008,completed
ARD980496723,SOUTH 8TH STREET LANDFILL,SOUTH EIGHTH STREET,WEST MEMPHIS,CRITTENDEN,AR,72301,6,Deleted from the,35.12444,-90.16944,,G,4/16/1992,9/19/2000,9/28/2004,completed
ARD980745665,MIDLAND PRODUCTS,1/2 MI E ON HIGHWAY 10,OLA/BIRTA,YELL,AR,72853,6,Currently on the,35.025,-93.20388,30.77,G,6/10/1986,12/21/1993,,completed
ARD980809941,JACKSONVILLE MUNICIPAL LANDFILL,GRAHAM RD,JACKSONVILLE,LONOKE,AR,72076,6,Deleted from the,34.86333,-92.07166,,G,7/22/1987,9/25/1995,3/14/2000,completed
